Title,companyName,address
추천 시스템 연구/개발,카카오,성남 판교역
"Software Engineer, Android Connectivity",구글코리아,서울 강남구
new2022년 미국 카네기멜론 대학교 AI 집중 교육프로그램 파견 교육생,정보통신기획평가원,서울
[대형증권사] IT개발(Front-end),인코리아 프로페셔널,서울 강남구
new11번가 금융플랫폼 Back-End Server 개발 분야,십일번가,서울 중구
"new2022년 상반기 주식회사 쏘마 전 개발 직군 (백엔드, 프론트엔드 외 신입/경력 정규직)",쏘마,성남 분당구
newData Engineer,비바리퍼블리카,서울 강남구
딥러닝 AI 개발 연구원,베이리스,성남 수정구
newData Engineer (Kafka),비바리퍼블리카,서울 강남구
Machine Learning Engineer Intern - Korea,MOLOCO,서울
[하나금융융합기술원] Bigdata&AI 연구/엔지니어 부문 (~4/18),하나금융티아이,서울 강남구
Data Engineer 신입사원,플리토,서울 강남구
newSystem Engineer (토스씨엑스),비바리퍼블리카,서울 강남구
각 부문별,드림어스컴퍼니,서울 서초구
Solana Dapp Developer,MIND AI,서울
[고객서비스] 데이터 분석 및 예측모형 개발 담당자,한국카카오은행,성남 분당구
"Staff, Data Analyst (ROD)",Coupang,서울
newLG이노텍,무관,서울 마곡역
newData Scientist (토스뱅크),비바리퍼블리카,서울 강남구
Web / Spring Framework 개발자,에릭슨엘지,서울 금천구
"new전사 협업 플랫폼(Jira, Confluence, Slack) 운영 담당자 영입",카카오페이,성남 백현동
AI Scientist (NL Reasoning),MIND AI,서울 중구
newCloud Engineer,IBM,서울
금융 Data Scientist 컨설턴트,페니로이스,서울 종로구
AI Software Engineer,GE Appliances,경기도 성남
newData Engineer (토스뱅크),비바리퍼블리카,서울 강남구
PostgreSQL Engineer 모집,카카오,성남 판교역
newMachine Learning 엔지니어,카카오모빌리티,성남 분당구
LG유플러스,무관,서울
"[광고 추천] 데이터 사이언스, 머신러닝 전문가 영입",카카오,성남 판교역
newData Analyst (토스페이먼츠),비바리퍼블리카,서울 강남구
천재교과서 IT부문,천재교과서,서울 금천구
new추천시스템 엔지니어 영입,카카오페이,성남 분당구
"Back-End Software Engineer, TensorFlow Extended",Google,서울
[PPM솔루션 클로바인] 연구소 IT 테크 직군 선행연구 개발자,헤븐트리,서울 강남구
[FashionGo korea] 추천 시스템 개발,NHN FashionGo korea] [FashionGo korea,성남 판교역
[FashionGo korea] 추천 통계 분석 및 모델 연구 개발,NHN FashionGo korea] [FashionGo korea,성남 판교역
newBusiness Intelligence Strategist,뤼이드,서울 강남구
캐롯손해보험 인재 Pool 등록(2021),캐롯,서울 중구
[TmaxEdu/R&D] 연구 개발자,티맥스소프트,성남 분당구
new빅데이터 플랫폼 및 데이터 파이프라인 구축 인력 (2분야),지에스아이티엠,서울 종로구
"S/W개발자, H/W개발자, 기구설계 전문가",뉴로직,서울 강서구
전문연구요원 (병역특례) 수시 (AI / HW 분야),딥엑스,성남 분당구
newCloud기반 Backend개발자,에스케이텔레콤,서울 중구
[실내배송로봇 연구개발] - Computer Vision & Machine learning Engineer,로보티즈,서울 강서구
new11번가 검색서비스 개발 분야,십일번가,서울 중구
newCore망 시스템 운용 전문가(수도권),에스케이텔레콤,서울 동작구
데이터 사이언티스트,베이글코드,서울 강남구
Data Engineer,Soomgo,서울 강남구
"자율주행, 인공지능(AI) 외 신입/경력 계약직, 인턴",퓨처드라이브,대구 달성군
"자율 주행, 로봇 SW 개발자",에바,성남 수정구
newData Engineer (토스증권),비바리퍼블리카,서울 강남구
newSoftware Development Engineer (전문연구요원/보충역 가능),메쉬코리아,서울 강남구
[대형증권사] 금융특화 한글 음성합성(TTI),인코리아 프로페셔널,서울 강남구
newAI / Big Data 전문가 - 글로벌 전자대기업,에스에프인촌,서울
Systems Engineer - Korea (1 year Contract),Fortinet,서울
new[Weverse Company] 데이터엔지니어,하이브,서울 용산구
newData Engineer (Platform) (토스뱅크),비바리퍼블리카,서울 강남구
new[현대무벡스] 경력사원 상시,현대무벡스,서울 종로구
newDBA (토스신용데이터),비바리퍼블리카,서울 강남구
[NAVER Cloud] Media 서비스 개발,네이버클라우드,성남 분당구
new블록체인 플랫폼 구축 및 운영,위메이드엔터테인먼트,성남 분당구
[쿠키런 : 마녀의성] 데이터 분석가,데브시스터즈,서울 강남구
Software Engineer - Python and K8s,Canonical - Jobs,서울
new측위 엔지니어,카카오모빌리티,성남 분당구
GC케어 Data 분석,녹십자헬스케어,서울 영등포구
[NHN] 인사운영,NHN] [NHN,성남 판교역
Vision AI 알고리즘 및 응용서비스 개발자,에스케이텔레콤,성남 분당구
CalCM Product Engineer,Siemens,경기도 성남
newData Engineer Eng,뤼이드,서울 강남구
A.I.개발자,파이프트리스마트팜,서울 송파구
"S/W 엔지니어, 데이터분석 신입/경력 정규직, 인턴",가치랩스,성남 분당구
웹시스템 및 솔루션 분야 프로그래머 및 웹퍼블리셔,위더스이십일,서울 금천구
new[리니지2] MMORPG 서버 프로그래머 모집,엔씨소프트,성남 판교역
Cloud Solution Architect,Microsoft,서울
[실내배송로봇 연구개발] - Robotics Software Engineer,로보티즈,서울 강서구
[외국계 스타트업 미소] Business Analyst,유한회사 미소,서울
DevSecOps Engineer,IBM,서울
Data Engineer (Supply Chain Optimization),머크,서울 강남구
IT/AI 개발 팀원/팀장,제이로고스,서울 용산구
[전문연구요원 신규편입/전직] SW Engineer/Backend/Frontend 개발자,뷰노코리아,서울 서초구
[쿠키런: 오븐브레이크] 데이터 분석가 (경력),데브시스터즈,서울 강남구
new[글로벌디지털마케팅 ] 데이터 분석 각 분야별 장애인,콘센트릭스서비스코리아,서울 강남구
"Student Training in Engineering Program (STEP) 2022, People...",Google,대한민국
newProduct Manager (Data) (토스뱅크),비바리퍼블리카,서울 강남구
new데이터 엔지니어 (전문연구요원 가능),메쉬코리아,서울 강남구
"Charging Operations Specialist, APAC Charging (English Speak...",Tesla,서울 강남구
newData Engineer (Analytics),비바리퍼블리카,서울 강남구
"백엔드, Python 외 경력 정규직",아토머스,서울 강남구
"Software Engineer, Platforms and Ecosystems, Android Auto",구글코리아,서울 강남구
인공지능 솔루션 (AI Solution) 개발,카이어,서울 서초구
데이터 엔지니어,베이글코드,서울 강남구
데이터 사이언티스트,Bagelcode,서울
newDevSecOps 엔지니어,위메이드엔터테인먼트,성남 분당구
new11번가 Machine Learning 및 검색랭킹 개발 분야,십일번가,서울 중구
개발자 생산성 엔지니어,컬리,서울 강남구
newSr. 데이터 엔지니어,메쉬코리아,서울 강남구
newDBA,비바리퍼블리카,서울 강남구
"영상처리, 컴퓨터 비전 전문가 (신입/경력)",에바,성남 수정구
new[아이티노매즈] S/W 개발자 등 각 부문,아이티노매즈,서울 구로구
[전문연구요원 신규편입/전직] 의료영상/음성인식/생체신호 연구원,뷰노코리아,서울 서초구
Explainable AI 연구 개발 신입 채용,CJ올리브네트웍스,성남 서현동
Field Service Engineer,Accenture Federal Services,서울
[네이버파이낸셜] FDS 데이터분석 담당자,네이버,서울
머신러닝 Integration 담당자 영입,캐롯,서울 중구
[외국계 스타트업 미소] Data Analyst,유한회사 미소,서울
new게임기술PM,위메이드엔터테인먼트,성남 분당구
[대기업] 데이터 엔지니어 (BI 개발) 과차장급,에이치알니즈,서울
Data Scientist,컬리,서울 강남구
프론트엔드 및 백엔드 개발자,서우엠에스,서울 영등포구
"newSolns Engineer, Expert",Keysight Technologies,서울
new인프라 플랫폼 DevOps,위메이드엔터테인먼트,성남 분당구
백엔드 플랫폼 개발 유지보수,아프리카TV,경기도 성남
디지털 미디어 매니저(퍼포먼스&브랜딩) 신입/경력,스스스스,서울 서초구
[전과정무료/취업연계] 2022년 한국정보보호산업협회 뉴딜일자리사업 교육과정 참여자,한국정보보호산업협회,서울
newAI/ML Engineer,메쉬코리아,서울 강남구
[컨트롤웍스] 제어엔지니어 신입,컨트롤웍스,서울 강남구
서버 개발자 Python(Django) Developer (경력),아테나스랩,서울 마포구
Software Architecture 설계 엔지니어,딥엑스,성남 분당구
D-lab 팀원 모집,이지스자산운용,서울 여의도
[데이터엔지니어링팀] Data Engineer (경력 2년 이상),직방,서울 종로구
[진행중] 우리은행 AI사업부 전문직(인공지능[AI] 모델링 자연어처리) 채용공고,우리은행,서울 회현동
newAI 딥러닝 및 데이터분석 개발자 (신입),메가존,서울 강남구
[CARVI] 데이터사이언티스트,카비,서울 금천구
newSecurity/ASDL 경력인재 - 자동차 전장부품 우량대기업,에스에프인촌,서울
[대형증권사] 파생퀀트,인코리아 프로페셔널,서울 강남구
데이터표준화 부문 경력,현대오토에버,서울 강남구
new위고블록체인 연구소 연구원,위고컴퍼니,서울 서초구
국제경제/원자재 시장분석 애널리스트,코리아피디에스,서울 마포구
S/W 개발팀,인프로,서울 금천구
"[Robotics] Robotics Software Engineer, Navigation",네이버,서울
Software Engineer for R&D Extension Korea,어플라이드 머티리얼즈 코리아,경기도 화성
new데이터 사이언티스트,컬리,서울 강남구
클라우드(플랫폼 구축/개발/데이터수집연계),KB데이타시스템,서울 마포구
AI/Machine Learning 컨설턴트,삼일pwc컨설팅,서울 용산구
"Camera Supplier Quality Engineer,",Apple,서울
new2022년 상반기 IT 경력사원 모집,한화그룹,서울
Data Scientist,KB데이타시스템,서울 마포구
newQA Manager,비바리퍼블리카,서울 강남구
new[NAVER Cloud] Video Conference 서비스 개발,네이버클라우드,성남 분당구
데이터PM(데이터 프로덕트) 정규직,한국인사이트연구소,서울 서초구
[OK 인베스트먼트파트너스] 경력사원 채용,OK금융그룹,서울 남대문로4가
5. 인프라개발팀 백엔드 개발자,카카오브이엑스 (KAKAO VX),성남 분당구
(3200만이상/분당)만도연구소 소프트웨어 개발/검증 연구보조,휴먼앤,성남 분당구
newData & AI Tech Sales,한국아이비엠,서울 영등포구
Datacenter Engineer (chuncheon),Oracle,서울
new[교보생명보험] FY2022 상반기 신입사원,교보생명보험,서울 종로구
AI Research Engineer,Intel,서울
newML Modeler,비바리퍼블리카,서울 강남구
Customer Experience Innovation Manager,비바리퍼블리카,서울 강남구
"Software Engineer, Robotics",Bear Robotics,서울
Expat: Experimental Physicist Tuning and Monitoring,IMS Nanofabrication,경기도 화성
newAutomotive Sensor Fusion Algorithm Engineer,Aptiv,경기도 용인
new[NAVER Cloud] MongoDB 데이터베이스 엔지니어 (DBA),네이버클라우드,성남 분당구
하반기 인턴직 모집,한솔그룹,서울 을지로2가
new[로고스데이터] JAVA 개발자 경력직,로고스데이터,서울 강남구
MLOps 플랫폼 연구/개발 경력 모집,CJ올리브네트웍스,성남 서현동
new차세대 AAA 게임 테크니컬 아티스트 모집,엔씨소프트,성남 판교역
newRisk Manager (신용 RWA),비바리퍼블리카,서울 강남구
newData Engineer (Platform) (토스증권),비바리퍼블리카,서울 강남구
"Associate Software Engineer, gReach Program for People with...",Google,서울
newData Engineer (Platform),비바리퍼블리카,서울 강남구
마케팅팀 블록체인 기반 서비스 개발자,카카오브이엑스 (KAKAO VX),성남 분당구
가상자산 트레이딩 / 시스템 개발자,블록투리얼,서울 강남구
[대기업] 데이터분석가 경력 (대리~과장급 2명),에이치알니즈,서울
[원익아이피에스] 상반기 대졸 공채,원익그룹,성남 삼평동
[NAVER Cloud] 리눅스 배포판 개발,네이버클라우드,성남 분당구
newAI 모빌리티 서비스의 미래 함께 열어갈 우수한 인재 찾습니다.,라온로드,성남 분당구
[메디픽셀] 딥러닝 & SW 개발 엔지니어,메디픽셀,서울 마포구
Mid-level Software Engineer (Full-Stack Backend),BOEING,서울
new지능형 RPA 시스템 개발(AA) / 5개월,스피링크,서울 용산구
new(주)이포즌 자사솔루션 개발팀 팀장,이포즌,서울 성동구
[SM]고급/JAVA/9개월/분당정자,원스링크,성남 분당구
[CJ Olivenetworks/경력] 취약점 점검 및 모의해킹,씨제이올리브네트웍스,서울 용산구
new[신사업부문] Data Scientist (데이터분석) 경력채용,한화그룹,서울
파이썬 개발자 초중급 이상,데이터앤솔루션,서울 서초구
